Dataset,GBN_Validation_10_0,GBN_Validation_10_5,BIC,BGe
Balance,-4419.397928401677,-4419.397928401677,-4419.397928401677,-4419.397928401677
Block,-354046.9969880377,-355787.44767714065,-352606.4296344469,-352997.5039833265
Breast_cancer,-12702.81877927413,-12596.884561376379,-12590.067988165363,-12591.68813569732
Breast_tissue,-5439.0196691815745,-5413.615612798948,-5274.105094365708,-5110.671604014027
CPU,-10761.092497179787,-10679.218857066231,-10635.583918552811,-10649.427171160676
Cardiotocography,-43655.218466932805,-43059.7183177543,-42860.31636587561,-44660.662123581205
Ecoli,1127.9865766439204,1156.6866780154658,1169.1156093325662,1171.6120814641768
Glass,-460.9019109008802,-92.83771756729614,98.16165491177026,-112.46115604050945
Ionosphere,-8021.676546769308,-7346.247742766471,-7129.098909480389,-7120.141124190795
Iris,-404.86404816497924,-403.2336355045863,-396.46265869925344,-392.80539729912357
Liver,-7820.328935091559,-7777.354161126095,-7777.89920980295,-7775.188694324869
Magic_Gamma,-595899.4234986084,-595840.1977553734,-595814.8584450273,-595828.1885823015
Parkinsons,8463.74481697405,8801.108300896947,8868.777808614945,8860.27549145554
QSAR Aquatic,-10396.783332085177,-10258.7764816545,-10247.448664794214,-10275.23701847653
QSAR fish toxicity,-6486.973758214509,-6388.738275412841,-6380.044721707162,-6382.495484374078
Sensor_reading,-194797.2767932044,-193362.54192156435,-193317.16799178883,-193385.70211267014
Sonar,18678.45064853419,19304.14264355048,19342.451121159753,18905.318968341442
Spambase,-256271.39590266944,-254340.83801215922,-246083.8672367391,-246190.2498117841
Vehicle,-46180.62321395367,-44016.62682362394,-43840.5176663815,-44001.618906277065
Vowel,-8517.890288164137,-8437.18179693257,-8406.199722659578,-8414.141638684468
Waveform-Noise,-297750.72649140627,-297047.44629386195,-297006.8375573699,-297062.230904015
Waveform,-163401.51949046925,-162660.2726728875,-162590.88719588215,-162629.32872934698
Wdbc,10971.377873127158,13112.029566590392,16207.64043615024,15997.106017549619
Wine,-3588.746305556244,-3489.6250880524162,-3466.2672404047453,-3509.996360418224
WineQuality-Red,-7884.42947515464,-7505.089439059717,-7513.470910276689,-7980.351055285904
WineQuality-White,-22812.13575222432,-21914.46129072645,-21952.585547205475,-22000.454606653653
Wpbc,1739.7705006304436,2828.872464781631,3105.354272569642,3168.5082339383393
Yeast,11857.696650885531,11882.450633600823,11890.171865151167,11899.154486581461