Dataset,SPBN_CKDE_PC_LC_10_0,SPBN_CKDE_PC_LC_10_5,SPBN_CKDE_PC_RCOT_10_0,SPBN_CKDE_PC_RCOT_10_5
Balance,-3869.8236542164595,-3869.8236542164595,-3869.8236542164595,-3869.8236542164595
Block,-878119.6765918293,-878119.6765918293,-986015.2810813513,-986015.2810813513
Breast_cancer,-10196.49292253336,-10196.49292253336,-9891.174197610906,-9891.174197610906
Breast_tissue,-6007.289785698461,-6052.491296678613,-6241.400550958406,-6248.475933588097
CPU,-9944.45083423791,-9944.45083423791,-10118.09130028513,-10118.09130028513
Cardiotocography,-25079.060858819124,-25079.060858819124,-25497.64883911542,-25497.64883911542
Ecoli,1970.0607863642663,1970.0607863642663,1975.3769521979284,1975.3769521979284
Glass,168.76449695186233,168.76449695186233,204.93596094412388,204.93596094412388
Ionosphere,-2505.8218317043616,-2505.8218317043616,-3185.1618549102077,-3185.1618549102077
Iris,-355.0979927854517,-355.0979927854517,-337.7191005910343,-337.7191005910343
Liver,-7554.176192797874,-7554.176192797874,-7479.501542332522,-7479.501542332522
Magic_Gamma,-521790.10820182506,-521790.10820182506,-513222.1889926605,-513222.1889926605
Parkinsons,8698.523975131488,8698.523975131488,8378.598548666894,8378.598548666894
QSAR Aquatic,-9622.87606433983,-9622.87606433983,-9777.26523392851,-9777.26523392851
QSAR fish toxicity,-4618.095674049401,-4618.095674049401,-4214.540131050382,-4214.540131050382
Sensor_reading,-85883.55712043066,-85883.55712043066,-86907.36429566785,-86907.36429566785
Sonar,19726.59389001233,19747.35462445399,19468.741738008135,19481.521485216497
Spambase,-9096.713572475592,-9096.713572475592,-19568.016774458123,-19568.016774458123
Vehicle,-46174.91871246898,-46174.91871246898,-45467.50196603034,-45467.50196603034
Vowel,-7465.8899965895225,-7465.8899965895225,-7177.250122912228,-7177.250122912228
Waveform-Noise,-298764.2778338682,-298582.21502886945,-299394.0775956181,-299217.723533364
Waveform,-164119.83119556805,-164102.74636300618,-164776.85259771178,-164727.61766995792
Wdbc,12290.990345697392,12216.626670812737,10447.551424054363,10386.334846217553
Wine,-3418.3278586288034,-3416.985693614287,-3528.008370612836,-3528.375441954242
WineQuality-Red,-3445.173845278025,-3445.173845278025,-3173.545465992565,-3173.545465992565
WineQuality-White,-14288.613786637485,-14288.613786637485,-13318.426049458249,-13318.426049458249
Wpbc,1703.0786925901502,1739.2668570425076,1567.6030561313844,1571.3673364853062
Yeast,18946.006166166786,18946.006166166786,18852.270361542473,18852.270361542473